index,Name,Partei,Bildungsgrad,Abschluss,Vormalige Ämter,Beruf
252,"Janecek, Dieter",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
253,"Jarzombek, Thomas",Union,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
254,"Jensen, Gyde",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
255,"Jongen, Marc",AfD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Journalismus
256,"Jung, Andreas",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
257,"Jung, Christian",FDP,Promotion,Abitur,Kommunale Räte,Privatwirtschaft/Management
258,"Jung, Ingmar",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
259,Junge,SPD,Masterabschluss,Abitur,Landtag,Lehrer
260,Juratovic,SPD,Berufsausbildung,Hauptschulabschluss,Parteiamt auf Bundes- oder Landesebene,Ingenieurwesen und Bau
261,Jurk,SPD,Berufsausbildung,Mittlere Reife,Führungsposition auf Landesebene,Ingenieurwesen und Bau
262,Jutta Krellmann,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
263,Jörg Cezanne,Die Linke,Duales Studium,Abitur,Keine Daten,Keine Daten
264,Kaczmarek,SPD,Masterabschluss,Abitur,Landtag,Wissenschaft
265,Kahrs,SPD,Bachelorabschluss,Abitur,Landtag,Rechtsanwalt/Kanzlei
266,Kaiser,SPD,Masterabschluss,Abitur,Landtag,Wissenschaft
267,"Kamann, Uwe",Fraktionslos,Berufsausbildung,Hauptschulabschluss,Kein politisches Amt,Privatwirtschaft/Management
268,"Kappert-Gonther, Kirsten",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Medizin/Arzt
269,Kapschack,SPD,Masterabschluss,Abitur,Kommunale Räte,Journalismus
270,Karamba,SPD,Promotion,Abitur,Kommunale Räte,Wissenschaft
271,"Karl, Alois",Union,Staatsexamen,Abitur,Kommunales Führungsamt,Rechtsanwalt/Kanzlei
272,"Karliczek, Anja",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
273,"Kartes, Torbjörn",Union,Staatsexamen,Abitur,Kommunale Räte,Privatwirtschaft/Management
274,Kathrin Vogler,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
275,Katja Kipping,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
276,Katrin Werner,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
277,Katzmarek,SPD,Berufsausbildung,Mittlere Reife,Kommunale Räte,Handwerk
278,"Kauder, Volker",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Verwaltung
279,"Kaufmann, Stefan",Union,Promotion,Abitur,Kommunale Räte,Politik
280,"Kekeritz, Uwe",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
281,Kelber,SPD,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
282,"Kemmer, Ronja",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Keine Daten
283,"Kemmerich, Thomas",FDP,Staatsexamen,Abitur,Landtag,Privatwirtschaft/Management
284,"Kestner, Jens",AfD,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Militär
285,"Keul, Katja",Die Grünen,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
286,"Keuter, Stefan",AfD,Duales Studium,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
287,"Kiesewetter, Roderich",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Militär
288,"Kießling, Michael",Union,Bachelorabschluss,Mittlere Reife,Kommunales Führungsamt,Politik
289,"Kindler, Sven-Christian",Die Grünen,Duales Studium,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
290,"Kippels, Georg",Union,Promotion,Abitur,Kommunales Führungsamt,Rechtsanwalt/Kanzlei
291,Kiziltepe,SPD,Bachelorabschluss,Keine Daten,Kommunale Räte,Privatwirtschaft/Management
292,Klare,SPD,Staatsexamen,Abitur,Kommunale Räte,Lehrer
293,Klaus Ernst,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
294,"Klein, Karsten",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
295,"Klein, Volkmar",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
296,"Klein-Schmeink, Maria",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
297,"Kleinwächter, Norbert",AfD,Staatsexamen,Abitur,Kommunales Führungsamt,Lehrer
298,Klingbeil,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Gewerkschaft
299,"Klinge, Marcel",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,PR/Werbung
300,"Kluckert, Daniela",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
301,"Knoerig, Axel",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
302,"Kober, Pascal",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Kirche
303,"Koeppen, Jens",Union,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Unternehmer
304,Kofler,SPD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Gewerkschaft
305,Kolbe,SPD,Masterabschluss,Abitur,Führungsposition auf Landesebene,Wissenschaft
306,"Komning, Enrico",AfD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Rechtsanwalt/Kanzlei
307,"Konrad, Carina",FDP,Masterabschluss,Abitur,Kein politisches Amt,Landwirtschaft
308,"Koob, Markus",Union,Masterabschluss,Abitur,Kommunale Räte,Politik
309,Korkmaz,SPD,Duales Studium,Abitur,Landtag,Verwaltung
310,"Kotré, Steffen",AfD,Masterabschluss,Abitur,Führungsposition auf Landesebene,Politik
311,"Kotting-Uhl, Sylvia",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
312,"Kraft, Rainer",AfD,Promotion,Abitur,Kein politisches Amt,Privatwirtschaft/Management
313,Kramme,SPD,Staatsexamen,Abitur,Landtag,Rechtsanwalt/Kanzlei
314,"Krauß, Alexander",Union,Bachelorabschluss,Abitur,Landtag,PR/Werbung
315,"Krichbaum, Gunther",Union,Staatsexamen,Abitur,Kein politisches Amt,Privatwirtschaft/Management
316,"Krings, Günter",Union,Promotion,Abitur,Kein politisches Amt,Privatwirtschaft/Management
317,"Krischer, Oliver",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
318,"Kruse, Rüdiger",Union,Bachelorabschluss,Abitur,Kommunale Räte,NGO/Vereinstätigkeit
319,"Kubicki, Wolfgang",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
320,"Kuffer, Michael",Union,Staatsexamen,Abitur,Kommunale Räte,Akademische Lehre
321,"Kuhle, Konstantin",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
322,"Kulitz, Alexander",FDP,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
323,"Kurth, Markus",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
324,"Köhler, Lukas",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
325,"König, Jörn",AfD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
326,"Körber, Carsten",Union,Masterabschluss,Abitur,Kommunale Räte,Politik
327,"Kühn, Christian",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Akademische Lehre
328,"Kühn, Stephan",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
329,"Kühne, Roy",Union,Promotion,Abitur,Kommunale Räte,Unternehmer
330,"Künast, Renate",Die Grünen,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
331,Lambrecht,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Bankwesen
332,"Lambsdorff, Alexander Graf",FDP,Masterabschluss,Abitur,Kein politisches Amt,Politik
333,"Lamers, Karl A.",Union,Promotion,Abitur,Kommunale Räte,Politik
334,"Landgraf, Katharina",Union,Masterabschluss,Abitur,Führungsposition auf Landesebene,Landwirtschaft
335,Lange,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
336,"Lange, Ulrich",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
337,"Launert, Silke",Union,Promotion,Abitur,Kein politisches Amt,Richteramt
338,Lauterbach,SPD,Promotion,Abitur,Kommunale Räte,Medizin/Arzt
339,"Lazar, Monika",Die Grünen,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Journalismus
340,"Lechte, Ulrich",FDP,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
341,"Lehmann, Jens",Union,Bachelorabschluss,Mittlere Reife,Kommunale Räte,Soziale Arbeit und Kinderbetreuung
342,"Lehmann, Sven",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
343,"Lehrieder, Paul",Union,Staatsexamen,Abitur,Kommunale Räte,Politik
344,"Leikert, Katja",Union,Promotion,Abitur,Kein politisches Amt,Akademische Lehre
345,"Lemke, Steffi",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
346,"Lenz, Andreas",Union,Promotion,Mittlere Reife,Kommunale Räte,Privatwirtschaft/Management
347,"Lezius, Antje",Union,Duales Studium,Mittlere Reife,Kommunale Räte,Unternehmer
348,Lindh,SPD,Masterabschluss,Abitur,Kommunales Führungsamt,Wissenschaft
349,"Lindholz, Andrea",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
350,"Lindner, Christian",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
351,"Lindner, Tobias",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
352,"Link, Michael Georg",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
353,"Linnemann, Carsten",Union,Promotion,Abitur,Kommunale Räte,Privatwirtschaft/Management
354,"Lips, Patricia",Union,Berufsausbildung,Abitur,Kommunale Räte,Privatwirtschaft/Management
355,Lischka,SPD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Rechtsanwalt/Kanzlei
356,"Loos, Bernhard",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Unternehmer
357,"Lucassen, Rüdiger",AfD,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
358,"Luczak, Jan-Marco",Union,Promotion,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
359,"Ludwig, Daniela",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,NGO/Vereinstätigkeit
360,"Luksic, Oliver",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
361,"Lämmel, Andreas G.",Union,Duales Studium,Mittlere Reife,Landtag,Verwaltung
362,"Löbel, Nikolas",Union,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
363,Lühmann,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Polizei/Strafverfolgung*Staatsanwalt
364,"Maag, Karin",Union,Staatsexamen,Abitur,Kein politisches Amt,Politik
365,Maas,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
366,"Magnitz, Frank",AfD,Masterabschluss,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Unternehmer
367,"Magwas, Yvonne",Union,Masterabschluss,Abitur,Kommunale Räte,Akademische Lehre
368,"Maier, Jens",AfD,Staatsexamen,Abitur,Kommunales Führungsamt,Richteramt
369,"Maier, Lothar (Prof.)",AfD,Promotion,Abitur,Kein politisches Amt,Akademische Lehre
370,"Malsack-Winkelmann, Birgit",AfD,Promotion,Abitur,Kein politisches Amt,Richteramt
371,"Manderla, Gisela",Union,Duales Studium,Abitur,Kommunale Räte,Ingenieurwesen und Bau
372,"Mannes, Astrid",Union,Promotion,Abitur,Kommunale Räte,Politik
373,"Mansmann, Till",FDP,Masterabschluss,Abitur,Führungsposition auf Landesebene,Journalismus
374,Marks,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
375,"Martens, Jürgen",FDP,Promotion,Abitur,Führungsposition auf Landesebene,Rechtsanwalt/Kanzlei
376,Martina Renner,Die Linke,Berufsausbildung,Mittlere Reife,Keine Daten,Keine Daten
377,Mast,SPD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Bankwesen
378,Matschie,SPD,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Pflegeberuf
379,"Mattfeldt, Andreas",Union,Berufsausbildung,Abitur,Kommunales Führungsamt,Politik
380,Matthias Höhn,Die Linke,Berufsausbildung,Keine Daten,Keine Daten,Keine Daten
381,"Mayer, Stephan",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
382,"Meister, Michael",Union,Promotion,Abitur,Kommunale Räte,Wissenschaft
383,"Merkel, Angela Dorothea",Union,Promotion,Abitur,Kommunale Räte,Politik
384,"Metzler, Jan",Union,Masterabschluss,Mittlere Reife,Kommunale Räte,Landwirtschaft
385,"Meyer, Christoph",FDP,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
386,"Mhalic, Irene",Die Grünen,Promotion,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Polizei/Strafverfolgung*Staatsanwalt
387,"Miazga, Corinna",AfD,Bachelorabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
388,Michael Leutert,Die Linke,Berufsausbildung,Abitur,Keine Daten,Keine Daten
389,Michel Brandt,Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
390,"Michelbach, Hans",Union,Duales Studium,Abitur,Kommunales Führungsamt,Unternehmer
391,"Middelberg, Mathias",Union,Promotion,Abitur,Kein politisches Amt,Politik
392,Miersch,SPD,Promotion,Abitur,Führungsposition auf Landesebene,Rechtsanwalt/Kanzlei
393,"Mieruch, Mario",Fraktionslos,Masterabschluss,Abitur,Keine Daten,Ingenieurwesen und Bau
394,Mindrup,SPD,Masterabschluss,Abitur,Landtag,Lobbyismus/Aktivismus
395,Mittag,SPD,Berufsausbildung,Keine Daten,Kommunales Führungsamt,Polizei/Strafverfolgung*Staatsanwalt
396,Mohrs,SPD,Masterabschluss,Abitur,Kommunale Räte,Lobbyismus/Aktivismus
397,Moll,SPD,Berufsausbildung,Mittlere Reife,Kommunale Räte,Pflegeberuf
398,"Monstadt, Dietrich",Union,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
399,"Mortler, Marlene",Union,Berufsausbildung,Mittlere Reife,Kommunale Räte,Landwirtschaft
400,"Motschmann, Elisabeth",Union,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Journalismus
401,"Mrosek, Andreas",AfD,Masterabschluss,Abitur,Landtag,Privatwirtschaft/Management
402,Möller,SPD,Staatsexamen,Abitur,Kein politisches Amt,Lehrer
403,"Möring, Karsten",Union,Staatsexamen,Abitur,Kommunale Räte,Lehrer
404,"Müller, Alexander",FDP,Masterabschluss,Abitur,Kommunale Räte,Unternehmer
405,"Müller, Axel",Union,Staatsexamen,Abitur,Kommunale Räte,Richteramt
406,"Müller, B.",SPD,Staatsexamen,Abitur,Führungsposition auf Landesebene,Pflegeberuf
407,"Müller, Carsten",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
408,"Müller, Claudia",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Service
409,"Müller, D.",SPD,Berufsausbildung,Mittlere Reife,Kommunales Führungsamt,Ingenieurwesen und Bau
410,"Müller, Gerd",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
411,"Müller, Hansjörg",AfD,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
412,"Müller, Sepp",Union,Berufsausbildung,Abitur,Kommunale Räte,Privatwirtschaft/Management
413,"Müller, Stefan",Union,Duales Studium,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Bankwesen
414,"Müller-Böhm, Roman",FDP,Bachelorabschluss,Abitur,Kein politisches Amt,Keine Daten
415,"Müller-Gemmeke, Beate",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
416,"Müller-Rosentritt, Frank",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Bankwesen
417,Müntefering,SPD,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Journalismus
418,"Münz, Volker",AfD,Masterabschluss,Abitur,Kein politisches Amt,Bankwesen
419,Mützenich,SPD,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
420,Nahles,SPD,Masterabschluss,Keine Daten,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
421,"Nestle, Ingrid",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
422,"Neumann, Christoph",AfD,Masterabschluss,Abitur,Kein politisches Amt,Unternehmer
423,"Neumann, martin (Prof.)",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Verwaltung
424,"Nick, Andreas",Union,Promotion,Abitur,Kommunale Räte,Bankwesen
425,"Nicolaisen, Petra",Union,Berufsausbildung,Mittlere Reife,Landtag,Privatwirtschaft/Management
426,Nicole Gohlke,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
427,Nissen,SPD,Berufsausbildung,Mittlere Reife,Führungsposition auf Landesebene,Bankwesen
428,"Noll, Michael",Union,Staatsexamen,Abitur,Kein politisches Amt,Politik
429,"Nolte, Jan Ralf",AfD,Berufsausbildung,Mittlere Reife,Kommunales Führungsamt,Militär
430,Norbert Müller (Potsdam),Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
431,"Notz, Konstantin von",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
432,"Nouripour, Omid",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Service
433,"Nüßlein, Georg",Union,Promotion,Abitur,Kommunale Räte,Bankwesen
434,"Oehme, Ulrich",AfD,Masterabschluss,Abitur,Kein politisches Amt,Unternehmer
435,"Oellers, Wilfried",Union,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
436,Oppermann,SPD,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Richteramt
437,Ortleb,SPD,Bachelorabschluss,Abitur,Kommunale Räte,Service
438,"Ostendorff, Friedrich",Die Grünen,Berufsausbildung,Abitur,Parteiamt auf Bundes- oder Landesebene,Landwirtschaft
439,"Oster, Josef",Union,Duales Studium,Mittlere Reife,Kommunales Führungsamt,Politik
440,"Otte, Henning",Union,Bachelorabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
441,"Otten, Gerold",AfD,Bachelorabschluss,Mittlere Reife,Kein politisches Amt,Militär
442,"Oßner, Florian",Union,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
443,"Pantel, Sylvia",Union,Bachelorabschluss,Abitur,Kommunale Räte,Unternehmer
444,"Pasemann, Frank",AfD,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
445,"Patzelt, Martin",Union,Duales Studium,Mittlere Reife,Kommunales Führungsamt,Soziale Arbeit und Kinderbetreuung
446,"Paus, Lisa",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Akademische Lehre
447,"Peterka, Tobias Matthias",AfD,Masterabschluss,Abitur,Kein politisches Amt,Verwaltung
448,Petry,SPD,Masterabschluss,Abitur,Landtag,Privatwirtschaft/Management
449,"Petry, Frauke",Fraktionslos,Promotion,Abitur,Keine Daten,Privatwirtschaft/Management
450,"Pfeiffer, Joachim",Union,Promotion,Abitur,Kommunale Räte,Privatwirtschaft/Management
451,Pia Zimmermann,Die Linke,Masterabschluss,Abitur,Keine Daten,Keine Daten
452,Pilger,SPD,Berufsausbildung,Mittlere Reife,Keine Daten,Sport
453,"Pilsinger, Stephan",Union,Staatsexamen,Abitur,Kommunale Räte,Medizin/Arzt
454,"Ploß, Christoph",Union,Promotion,Abitur,Kommunale Räte,PR/Werbung
455,"Podolay, Paul Viktor",AfD,Berufsausbildung,Abitur,Kein politisches Amt,Medizin/Arzt
456,"Pohl, Jürgen",AfD,Staatsexamen,Abitur,Kein politisches Amt,Rechtsanwalt/Kanzlei
457,"Polat, Filiz",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
458,"Pols, Eckhard",Union,Berufsausbildung,Mittlere Reife,Kommunale Räte,Handwerk
459,Poschmann,SPD,Berufsausbildung,Keine Daten,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
460,"Post, A.",SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Wissenschaft
461,"Post, F.",SPD,Masterabschluss,Abitur,Kommunale Räte,Lobbyismus/Aktivismus
462,Pronold,SPD,Berufsausbildung,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
463,"Protschka, Stephan",AfD,Berufsausbildung,Mittlere Reife,Kein politisches Amt,Unternehmer
464,Raabe,SPD,Promotion,Abitur,Kommunales Führungsamt,Politik
465,Rabanus,SPD,Masterabschluss,Keine Daten,Kommunales Führungsamt,Wissenschaft
466,"Rachel, Thomas",Union,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
467,"Radomski, Kerstin",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Lehrer
468,"Radwan, Alexander",Union,Staatsexamen,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
469,"Rainer, Alois",Union,Berufsausbildung,Hauptschulabschluss,Kommunales Führungsamt,Handwerk
470,"Ramsauer, Peter",Union,Promotion,Abitur,Kommunale Räte,Unternehmer
471,"Rehberg, Eckhardt",Union,Duales Studium,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
472,"Reichardt, Martin",AfD,Bachelorabschluss,Abitur,Kein politisches Amt,Militär
473,Reimann,SPD,Promotion,Abitur,Kommunales Führungsamt,Wissenschaft
474,"Reinhold, Hagen",FDP,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Handwerk
475,"Renner, Martin Erwin",AfD,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
476,"Rether, Bernd",FDP,Masterabschluss,Abitur,Führungsposition auf Landesebene,Politik
477,"Reusch, Roman Johannes",AfD,Staatsexamen,Abitur,Kein politisches Amt,Polizei/Strafverfolgung*Staatsanwalt
478,"Riebsamen, Lothar",Union,Duales Studium,Mittlere Reife,Kommunales Führungsamt,Politik
479,"Rief, Josef",Union,Berufsausbildung,Mittlere Reife,Parteiamt auf Bundes- oder Landesebene,Landwirtschaft
480,Rimkus,SPD,Berufsausbildung,Mittlere Reife,Kommunale Räte,Handwerk
481,Rix,SPD,Berufsausbildung,Mittlere Reife,Landtag,Pflegeberuf
482,Rohde,SPD,Staatsexamen,Abitur,Kommunale Räte,Rechtsanwalt/Kanzlei
483,Rosemann,SPD,Promotion,Abitur,Führungsposition auf Landesebene,Privatwirtschaft/Management
484,Rossmann,SPD,Promotion,Abitur,Führungsposition auf Landesebene,Medizin/Arzt
485,Roth,SPD,Masterabschluss,Abitur,Führungsposition auf Landesebene,Wissenschaft
486,"Roth, Claudia",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Kultur
487,"Rottmann, Manuela",Die Grünen,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
488,"Rouenhoff, Stefan",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
489,"Ruppert, Stefan",FDP,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
490,"Rupprecht, Albert",Union,Masterabschluss,Abitur,Kein politisches Amt,Privatwirtschaft/Management
491,Ryglewski,SPD,Masterabschluss,Abitur,Führungsposition auf Landesebene,Politik
492,"Röring, Johannes",Union,Berufsausbildung,Mittlere Reife,Kein politisches Amt,Lobbyismus/Aktivismus
493,Röspel,SPD,Masterabschluss,Mittlere Reife,Kommunale Räte,Wissenschaft
494,"Röttgen, Norbert",Union,Promotion,Abitur,Parteiamt auf Bundes- oder Landesebene,Rechtsanwalt/Kanzlei
495,"Rößner, Tabea",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Journalismus
496,"Rüddel, Erwin",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
497,"Rüffer, Corinna",Die Grünen,Bachelorabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Soziale Arbeit und Kinderbetreuung
498,Rüthrich,SPD,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Lehrer
499,Rützel,SPD,Berufsausbildung,Hauptschulabschluss,Kommunale Räte,Handwerk
500,Sabine Leidig,Die Linke,Masterabschluss,Mittlere Reife,Keine Daten,Keine Daten
501,Sabine Zimmermann (Zwickau),Die Linke,Staatsexamen,Abitur,Keine Daten,Keine Daten
502,"Sarrazin, Manuel",Die Grünen,Masterabschluss,Abitur,Landtag,Politik
503,"Sattelberger, Thomas",FDP,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Privatwirtschaft/Management
504,"Sauer, Stefan",Union,Masterabschluss,Abitur,Kommunales Führungsamt,Privatwirtschaft/Management
505,"Sauter, Christian",FDP,Masterabschluss,Abitur,Kommunale Räte,Privatwirtschaft/Management
506,"Schauws, Ulla",Die Grünen,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Kultur
507,Scheer,SPD,Promotion,Abitur,Kein politisches Amt,Kultur
508,"Scheuer, Andreas",Union,Staatsexamen,Abitur,Kommunale Räte,Politik
509,Schieder,SPD,Staatsexamen,Abitur,Landtag,Rechtsanwalt/Kanzlei
510,Schiefner,SPD,Berufsausbildung,Hauptschulabschluss,Kommunales Führungsamt,Ingenieurwesen und Bau
511,"Schielke-Ziesing, Ulrike",AfD,Bachelorabschluss,Abitur,Kein politisches Amt,Bankwesen
512,"Schimke, Jana",Union,Masterabschluss,Abitur,Parteiamt auf Bundes- oder Landesebene,Politik
513,"Schinnenburg, Wieland",FDP,Promotion,Abitur,Landtag,Medizin/Arzt
514,"Schipanski, Tankred",Union,Staatsexamen,Abitur,Kein politisches Amt,Akademische Lehre
